Site ID,Parent Site ID,Parent Site Name,Site Name,Type,Latitude,Longitude,Legacy,Start_Date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
A008,A008,Kangaroo Point Bikeway,Kangaroo Point Bikeway,Automatic,-27.481505,153.032133,,2014,,,,,,,,,,,1,1,1
A009,A009,Kedron Brook Bikeway Lutwyche,Kedron Brook Bikeway Lutwyche,Automatic,-27.418186,153.032104,,2014,,,,,,,,,,,1,1,1
A010,A010,Kedron Brook Bikeway Mitchelton,Kedron Brook Bikeway Mitchelton,Automatic,-27.402641,152.978179,,2015,,,,,,,,,,,,1,1
A011,A011,Lambert Road Indooroopilly,Lambert Road Indooroopilly,Automatic,-27.503343,152.981076,,2015,,,,,,,,,,,,1,1
A012,A012,North Brisbane Bikeway Mann Park Windsor,North Brisbane Bikeway Mann Park Windsor,Automatic,-27.441242,153.033363,,2014,,,,,,,,,,,1,1,1
A013,A013,Riverwalk,Riverwalk,Automatic,-27.464029,153.03867,,2014,,,,,,,,,,,1,1,1
A014,A014,Schulz Canal Bridge,Schulz Canal Bridge,Automatic,-27.406126,153.073752,,2013,,,,,,,,,,1,1,1,1
A015,A015,Stanley Street,Stanley Street,Automatic,-27.48605,153.032223,,2015,,,,,,,,,,,,1,1
A016E,A016,Story Bridge,Story Bridge East,Automatic,-27.470891,153.035863,,2015,,,,,,,,,,1,1,1,1
A016W,A016,Story Bridge,Story Bridge West,Automatic,-27.470387,153.035644,,2013,,,,,,,,,,1,1,1,1
A017,A017,Norman Park,Norman Park,Automatic,-27.478348,153.055372,,2016,,,,,,,,,,,,,1
